#{"t_start": 1763582221.1856005, "env_id": "None"}
r,l,t
1156.654528,1001,11.620046
111.545266,1001,19.312225
4.834132,1001,40.402252
1405.169651,1001,48.954587
1106.206365,1001,66.720843
25.640787,1001,75.792244
3.873938,1001,93.077319
1419.041819,1001,101.554135
34.690002,1001,120.713018
58.635513,1001,128.762889
654.809484,1001,147.212872
1135.366811,1001,156.178442
1556.415007,1001,174.52883
253.049877,1001,183.254073
664.332939,1001,201.961546
285.645384,1001,211.068279
1438.921986,1001,229.641957
1304.459881,1001,237.876142
585.31829,1001,258.770166
938.080538,1001,266.722007
303.218708,1001,287.182455
478.891909,1001,295.4214
343.42021,1001,316.81115
833.635354,1001,325.043893
415.751586,1001,345.165989
529.351389,1001,354.112414
650.392882,1001,373.324367
491.376147,1001,382.682717
1217.830745,1001,400.987878
509.071197,1001,410.96495
952.612654,1001,430.340845
1446.897598,1001,440.511411
1438.246219,1001,459.232628
1185.700612,1001,468.435747
1744.619525,1001,487.95249
556.303893,1001,496.608274
687.562467,1001,516.90523
566.99039,1001,525.447066
1492.603873,1001,545.409292
543.682631,1001,554.125701
809.706968,1001,574.801952
1145.958486,1001,583.639856
783.871677,1001,602.086326
1690.510635,1001,612.186476
798.238753,1001,621.063686
217.989495,404,634.173463
554.456436,1001,644.651263
1855.650732,1001,663.044903
600.000069,1001,673.06909
726.344722,1001,691.395392
1819.66291,1001,700.193446
1214.040226,1001,720.109361
1884.501737,1001,728.83017
1211.109876,1001,750.233424
1649.62933,1001,758.969826
761.534111,1001,779.309222
1463.376178,1001,788.235716
837.343017,1001,807.572439
1592.524815,1001,816.482969
790.580392,1001,835.570104
792.507281,1001,845.517112
756.948886,1001,864.11085
998.714377,1001,873.979547
768.427952,1001,882.981491
878.38837,1001,901.807094
650.579681,1001,911.622921
620.694365,403,925.670769
881.737511,1001,934.505154
1098.582416,1001,954.748952
704.745813,1001,963.86495
1743.714036,1001,984.11679
1105.792691,1001,992.982862
685.68371,1001,1012.694671
1939.072723,1001,1021.774262
1872.189927,1001,1042.203295
1222.521034,1001,1051.096539
747.111011,1001,1070.316949
1812.387511,1001,1080.353129
208.014239,328,1083.275973
881.402108,1001,1102.743081
664.129969,1001,1112.710501
730.329075,1001,1131.54301
1930.582469,1001,1141.408846
1850.073667,1001,1160.456591
1155.467852,1001,1169.781221
1982.241568,1001,1189.75845
1953.226758,1001,1198.696359
1506.417675,1001,1218.96455
936.673433,1001,1228.042853
1831.32093,1001,1248.34807
1249.070073,1001,1257.288085
1919.545252,1001,1276.944847
