#{"t_start": 1763582220.769206, "env_id": "None"}
r,l,t
125.822746,1001,12.036628
-93.516384,1001,19.72893
227.549228,1001,40.818544
1227.00905,1001,49.371277
1128.450707,1001,67.137212
-40.785548,1001,76.209103
940.747567,1001,93.493558
101.348543,1001,101.970855
865.144641,1001,121.12918
1314.013576,1001,129.179321
191.474232,1001,147.628296
36.748738,1001,156.593687
1364.718035,1001,174.945538
1186.919256,1001,183.67071
333.855656,1001,202.376472
1020.983452,1001,211.483841
1441.036858,1001,230.05767
83.445593,1001,238.291596
279.414797,1001,259.187906
553.945801,1001,267.138415
397.548717,1001,287.598765
1207.347467,1001,295.836716
605.292829,1001,317.226565
1302.360178,1001,325.460423
1711.540353,1001,345.582947
393.592558,1001,354.528607
1236.901649,1001,373.739875
1328.272213,1001,383.099063
1258.096009,1001,401.404013
1006.58398,1001,411.381361
1634.789476,1001,430.757729
396.331793,1001,440.928046
373.194947,1001,459.650091
843.251699,1001,468.852424
387.510783,1001,488.368145
1637.985646,1001,497.023516
711.698422,1001,517.321306
1308.584366,1001,525.863053
1651.973221,1001,545.82609
706.899366,1001,554.541987
775.912356,1001,575.2163
1045.196464,1001,584.054112
713.534925,1001,602.50235
1812.642099,1001,612.602557
1401.593093,1001,621.479565
1416.387761,1001,641.403504
554.720171,1001,650.393283
1693.085859,1001,668.760664
537.970024,1001,678.875801
1004.537047,1001,697.051846
1894.028036,1001,707.416048
725.580507,1001,725.748558
1431.922623,1001,734.543783
1290.748713,1001,755.840115
607.167547,1001,764.691145
821.231744,1001,785.041845
857.443848,1001,794.018555
737.157434,1001,813.276014
762.750502,1001,822.180359
672.331578,1001,842.358889
1823.543873,1001,851.084244
314.923665,250,853.299918
1079.762296,1001,873.024217
1313.511559,1001,882.012245
643.344905,1001,900.716255
1917.478164,1001,910.682684
651.378783,1001,929.967353
1938.538715,1001,939.906622
1516.612391,1001,959.28941
1232.889902,1001,968.517143
1907.232521,1001,988.493246
669.262761,1001,997.340414
723.425362,1001,1017.022007
1311.085283,1001,1026.126354
989.815527,1001,1046.546088
736.64295,1001,1055.464906
880.536392,1001,1075.701693
876.703497,1001,1084.710292
284.536805,244,1086.862458
1124.296291,1001,1107.448861
615.181041,1001,1116.327729
633.235399,1001,1135.160638
652.369005,1001,1145.086267
1057.31701,1001,1164.251503
954.967587,1001,1174.473166
1517.440067,1001,1193.38097
1069.511838,1001,1202.37484
771.354172,1001,1222.548136
690.967638,1001,1231.89399
834.906404,1001,1252.001018
1783.990062,1001,1260.950538
715.84395,1001,1280.627863
1258.804854,1001,1289.443906
1329.126369,1001,1309.499152
758.207563,1001,1318.668601
1312.069574,1001,1340.587686
847.576612,1001,1349.573876
1554.478407,1001,1368.4951
1296.937166,1001,1378.68622
1889.594023,1001,1397.591705
133.872824,259,1399.954672
1735.944685,1001,1409.871843
959.807432,1001,1429.102401
1923.557841,1001,1437.973525
1090.818921,1001,1458.894074
852.678912,1001,1467.837445
1154.66487,1001,1487.670507
1981.945808,1001,1497.122614
1895.96784,1001,1516.94398
1225.132826,1001,1525.996589
1956.351683,1001,1545.730903
1239.310583,1001,1554.676399
766.800932,1001,1574.894516
932.757963,1001,1584.090533
1751.854326,1001,1602.917836
1507.227525,1001,1613.048209
1198.181969,1001,1632.313147
569.056347,1001,1642.380288
2033.02167,1001,1661.631926
1536.480676,1001,1670.43982
2082.98483,1001,1690.601997
1558.302912,1001,1699.535016
1505.429148,1001,1719.045872
404.336617,485,1723.245644
1028.026058,1001,1731.865474
1808.693378,1001,1751.509041
1233.249271,1001,1760.745122
1080.316843,1001,1780.9259
1515.853867,1001,1789.673841
1858.784123,1001,1809.918406
889.003708,1001,1818.672318
1336.159738,1001,1837.332148
1658.450165,1001,1847.567616
721.770557,653,1853.270098
322.679511,287,1865.692188
1680.124274,1001,1875.7375
1648.49755,1001,1894.636906
2104.36104,1001,1903.41723
1738.405809,1001,1923.071256
1991.461328,1001,1931.96487
1125.052259,1001,1951.766483
984.965325,1001,1960.765755
1039.945133,726,1967.197498
1217.591453,1001,1987.729437
1627.300876,1001,1996.512928
1951.427294,1001,2017.945164
820.588261,717,2024.369934
1208.246729,1001,2045.927817
1719.070231,1001,2054.600781
1248.318117,1001,2074.996503
1712.943069,1001,2083.89624
1743.861447,1001,2103.267412
1606.160288,1001,2113.29827
1745.806093,1001,2132.25878
856.573635,784,2140.364912
2037.463888,1001,2149.268696
1847.992648,1001,2168.257943
1792.167559,1001,2178.29195
1479.557382,1001,2196.659805
1713.174577,1001,2206.663694
1707.439303,1001,2225.4518
199.577956,305,2228.146504
1736.931003,1001,2249.87512
1151.474752,874,2257.441766
587.989985,448,2261.339316
2037.312489,1001,2284.607245
1747.746181,1001,2293.430585
1264.692667,1001,2315.705132
1562.7239,1001,2324.414454
2069.236736,1001,2346.441304
1688.03239,1001,2355.55433
1535.225756,1001,2375.60145
2039.599058,1001,2384.378478
666.463445,505,2388.807101
1373.353078,1001,2409.616039
1750.286403,1001,2418.74876
1472.343996,1001,2439.183318
1740.891067,1001,2447.995574
1873.391302,1001,2466.729786
1767.464193,1001,2476.868106
1991.371831,1001,2496.240195
1731.656626,1001,2506.160237
1736.641964,1001,2524.993364
1735.953564,1001,2533.669741
1833.662387,1001,2554.443449
1657.577171,1001,2563.198266
1967.920219,1001,2583.403472
979.71117,735,2589.818228
1753.732476,1001,2609.994464
1303.267008,1001,2618.872069
1775.331682,1001,2637.711068
1393.100753,992,2647.531372
1800.477133,1001,2666.646165
1770.321832,1001,2676.812814
1983.376059,1001,2695.884773
1694.241617,1001,2705.789701
1817.983009,1001,2714.603505
1221.684432,834,2732.516132
1533.033108,1001,2742.720994
400.019871,337,2755.366687
1766.137198,1001,2764.154511
1995.902064,1001,2783.768209
1689.348395,1001,2792.531944
366.867024,320,2795.347405
1960.260189,1001,2815.461972
1711.658924,1001,2824.278787
1055.890519,851,2842.551396
1711.215672,1001,2851.359145
1684.247098,1001,2870.572778
2046.458542,1001,2880.87991
1738.805659,1001,2906.216665
2035.558182,1001,2914.886376
1638.445101,1001,2923.4378
1730.881525,1001,2943.358201
1719.280019,1001,2952.084428
1755.390243,1001,2971.050202
1797.553735,1001,2980.410777
2053.298687,1001,2998.056218
1664.627257,1001,3008.785334
1771.981249,1001,3030.365109
1818.46774,1001,3041.802758
1780.186883,1001,3063.248941
2077.919484,1001,3074.170194
551.607337,394,3089.373122
160.874214,232,3091.45466
1742.407471,1001,3101.795886
1848.480243,1001,3122.391048
1872.830716,1001,3131.499964
1821.25596,1001,3156.654351
1870.684296,1001,3165.894763
217.545614,246,3168.444141
1963.624552,1001,3193.13259
1975.481315,1001,3204.220393
1825.078239,1001,3228.868339
1409.474785,1001,3240.874708
1568.124088,1001,3266.174859
1925.673503,1001,3277.602667
1876.893003,1001,3300.623634
1830.961482,1001,3311.861791
1935.311796,1001,3334.64341
2111.576951,1001,3345.681982
1765.633679,1001,3363.051019
1784.781598,1001,3372.616068
1831.269417,1001,3390.203992
946.111274,685,3396.068565
1763.915225,1001,3405.708262
1466.024503,866,3421.956
1752.267035,1001,3430.471411
1810.038965,1001,3449.642292
1839.478761,1001,3458.095135
1836.124349,1001,3476.860345
