#{"t_start": 1763582221.0866213, "env_id": "None"}
r,l,t
997.50301,1001,11.717628
390.606102,1001,19.410125
1210.861756,1001,40.499844
96.374197,1001,49.051851
165.414723,1001,66.817923
335.072454,1001,75.889979
135.759208,1001,93.174415
-30.273852,1001,101.651625
78.410758,1001,120.810333
917.331368,1001,128.86046
1426.346798,1001,147.309966
-104.590922,1001,156.275911
1145.710172,1001,174.626797
1438.191369,1001,183.351609
535.124146,1001,202.058949
1484.839991,1001,211.166169
1330.735522,1001,229.738948
1450.366539,1001,237.973871
1315.754444,1001,258.868787
1319.955636,1001,266.81971
810.613604,1001,287.279837
786.972577,1001,295.518874
952.04943,1001,316.90906
415.751617,1001,325.141432
1352.921565,1001,345.264042
1176.262528,1001,354.209717
606.860693,1001,373.421174
431.52836,1001,382.780195
1573.583183,1001,401.085077
1374.604051,1001,411.062028
1509.723744,1001,430.438538
951.59637,1001,440.608645
1297.879151,1001,459.329832
559.150827,1001,468.533246
1256.168403,1001,488.04906
1030.190228,1001,496.705688
824.408448,1001,517.002256
573.045032,1001,525.544965
772.351869,1001,545.506851
829.954483,1001,554.223152
523.553201,1001,574.898369
1665.377223,1001,583.736863
1255.936475,1001,602.183676
1305.831485,1001,612.28345
1835.325957,1001,621.160743
948.272739,1001,641.085707
1754.671682,1001,650.074027
584.25343,1001,668.441778
1679.1464,1001,678.55555
993.614693,1001,696.732978
1170.670004,1001,707.098564
1749.515882,1001,725.430608
649.594308,1001,734.225037
87.011494,154,735.592207
717.267471,1001,756.897653
1457.945745,1001,765.777006
1139.530055,1001,786.123259
1741.997952,1001,794.932768
989.70053,1001,814.319892
644.397531,1001,823.214778
867.611623,1001,843.413678
40.851605,191,845.092289
976.815289,1001,853.820989
643.5791,1001,873.541475
1718.784435,1001,882.551523
754.198376,1001,901.390123
1980.621568,1001,911.212976
1093.787724,1001,930.501516
899.773172,1001,940.4331
1695.911046,1001,959.806728
1487.944038,1001,969.051452
623.875537,1001,988.999276
1975.597275,1001,997.835913
1386.889661,1001,1017.544071
1561.822813,1001,1026.678842
1129.888239,1001,1047.063721
1304.289293,1001,1055.988691
947.428747,1001,1076.22893
1498.659815,1001,1085.235137
1078.179199,1001,1105.780678
200.170717,185,1107.44237
669.520925,1001,1116.326337
814.0617,1001,1135.15642
709.675084,1001,1145.076075
1573.865725,1001,1164.284628
916.366767,1001,1174.449369
2027.825934,1001,1193.378962
934.484875,1001,1202.367104
923.688188,1001,1222.541635
304.241701,285,1225.077564
2064.563297,1001,1234.422594
1492.834665,1001,1254.555917
1160.124758,1001,1263.470862
858.181649,1001,1283.127888
1854.898502,1001,1291.926257
719.592711,1001,1312.02739
698.055465,1001,1321.21568
1241.140701,1001,1343.126806
807.243602,1001,1352.12599
1603.354708,1001,1371.066954
2039.657083,1001,1381.191397
652.27387,1001,1400.180826
705.355065,1001,1410.096951
985.090797,1001,1429.338913
1115.689435,1001,1439.292632
1470.272239,1001,1459.159649
782.383816,1001,1468.063555
2046.87492,1001,1487.904403
1729.161156,1001,1497.342435
1094.835281,1001,1517.164703
1528.406151,1001,1526.21671
1256.607617,1001,1545.963373
623.902131,1001,1554.912446
1920.626208,1001,1575.132667
900.05942,1001,1584.336371
2093.671832,1001,1603.149861
1565.107864,1001,1613.290494
930.686237,1001,1632.535942
1440.782733,1001,1642.615987
1026.046862,1001,1661.824232
1296.621557,1001,1670.694818
1187.407109,1001,1690.843334
1296.291228,1001,1699.748648
1435.123842,1001,1719.230335
1278.736581,1001,1728.026571
918.520745,1001,1747.543545
1496.020894,1001,1756.590402
586.097496,394,1760.165974
1836.753335,1001,1780.359989
1693.740016,1001,1789.094556
435.132515,472,1793.159014
2062.480326,1001,1813.503644
1677.309993,1001,1822.649998
1272.820271,1001,1842.080278
1619.462547,1001,1851.131813
1831.599818,1001,1869.834544
1774.408201,1001,1879.802185
1021.592834,1001,1898.710309
1719.486808,1001,1908.674024
1337.071747,1001,1927.159175
1773.052426,1001,1936.087537
1623.435105,1001,1956.095532
1949.795392,1001,1964.915961
2040.112767,1001,1985.569953
1739.111582,1001,1994.260412
1346.624962,1001,2015.525943
1049.527023,966,2024.292622
1709.265237,1001,2045.844662
937.782493,907,2053.708778
1719.093582,1001,2074.105505
1214.620454,1001,2082.962345
1702.565718,1001,2102.316138
1643.505739,1001,2112.35796
