#{"t_start": 1763582221.5847554, "env_id": "None"}
r,l,t
109.427108,1001,11.219429
50.397867,1001,18.911196
222.083826,1001,40.001442
1155.010468,1001,48.553553
-64.084367,1001,66.319932
27.823409,1001,75.39112
581.217954,1001,92.676746
42.262255,1001,101.153524
624.880106,1001,120.311956
1599.667494,1001,128.362324
743.676559,1001,146.812254
440.163418,1001,155.777679
251.179846,1001,174.128583
4.955911,1001,182.853423
127.430864,1001,201.560365
191.185933,1001,210.6674
1231.638365,1001,229.240743
1296.467928,1001,237.475435
1106.757933,1001,258.370434
375.284058,1001,266.321151
381.282833,1001,286.781615
1397.318336,1001,295.020544
1575.576935,1001,316.411059
391.072774,1001,324.642753
375.313766,1001,344.765199
1273.978492,1001,353.711402
1146.8156,1001,372.92251
168.087879,1001,382.281864
348.762598,1001,400.586804
509.478795,1001,410.564051
620.388661,1001,429.940154
433.478255,1001,440.11038
1267.111077,1001,458.831172
770.6396,1001,468.034473
1405.844967,1001,487.550822
982.502826,1001,496.207281
1210.579545,1001,516.504122
723.255537,1001,525.045543
686.537073,1001,545.009063
1748.019774,1001,553.724678
959.326454,1001,574.400446
1354.891646,1001,583.238027
57.517394,269,585.552824
1189.932057,1001,604.018283
1749.031355,1001,614.160001
707.686283,1001,632.614769
1815.558969,1001,643.046777
644.349065,1001,661.423305
1421.753761,1001,670.329141
212.997761,266,673.846791
271.066917,223,675.881141
1198.454717,1001,694.060128
1338.194648,1001,703.161699
647.242913,404,717.638828
1589.33933,1001,726.308194
865.340235,1001,735.165419
1068.75983,1001,756.454586
1233.779043,1001,765.337564
1060.524588,1001,785.687183
1000.538983,1001,794.49596
835.636445,1001,813.886479
759.424383,1001,822.780356
1874.686255,1001,842.986399
1862.734735,1001,851.693007
1927.493501,1001,870.368806
840.619128,1001,880.358079
1997.254388,1001,899.054596
571.510292,1001,909.091473
1978.112017,1001,928.369027
1918.013759,1001,937.241
788.647459,1001,957.657846
1860.06174,1001,966.860872
683.434846,1001,986.891635
807.130454,1001,995.742445
1409.044016,1001,1015.423439
1970.102225,1001,1024.529977
1775.417298,1001,1044.929164
736.25702,1001,1053.853369
1489.079085,1001,1074.107986
2027.519676,1001,1083.114927
1220.98416,1001,1102.576185
649.560195,1001,1112.54957
966.359594,1001,1131.373255
346.569377,250,1133.593772
1927.072303,1001,1143.509065
262.644811,196,1145.242793
784.809324,1001,1164.571567
860.040123,1001,1174.61472
1754.284043,1001,1193.569478
2000.510953,1001,1202.562135
811.570219,1001,1222.730041
729.85752,1001,1232.071641
1895.222869,1001,1252.205878
896.796945,1001,1261.127414
723.162377,1001,1280.827328
655.7653,1001,1289.622152
240.184149,190,1291.273303
1241.231672,1001,1311.368454
1082.681039,1001,1320.562521
1642.159699,1001,1342.465255
705.588412,1001,1351.476625
922.882302,1001,1370.414413
2068.387659,1001,1380.534895
1399.968012,1001,1399.52367
652.122267,1001,1409.441699
1361.363404,1001,1428.681501
2077.210651,1001,1438.634904
795.168755,829,1456.936997
1209.53704,1001,1465.885604
1175.771869,1001,1485.708503
1035.330939,1001,1495.039936
1322.749524,1001,1515.00352
1389.403547,1001,1524.030177
1018.815181,1001,1543.774885
1397.875535,1001,1552.734715
682.916384,1001,1572.951588
728.035807,1001,1582.073551
1521.248468,1001,1600.949955
1973.970864,1001,1611.076083
1313.765849,1001,1630.407863
1428.889313,1001,1640.391153
629.353537,1001,1659.791014
2096.972481,1001,1668.523857
1107.686643,1001,1678.495095
796.293679,825,1696.00991
1381.825722,1001,1705.908911
1354.76,873,1723.160207
1248.776016,1001,1731.779241
1579.056972,1001,1751.432029
1496.889407,1001,1760.650846
1446.34377,1001,1780.830693
1563.7016,1001,1789.576204
1922.4764,1001,1809.828049
1560.220054,1001,1818.660221
1991.364045,1001,1838.301246
2006.956982,1001,1847.467128
1123.843269,1001,1866.164372
902.488221,1001,1876.307286
1006.727692,1001,1895.08632
1655.611141,1001,1904.968732
1961.106223,1001,1923.538327
1250.36635,1001,1932.405067
841.526041,892,1951.316925
1709.839614,1001,1960.273938
1446.224705,1001,1980.947205
1628.106314,1001,1989.654286
1658.713919,1001,2011.042637
1521.377427,1001,2020.008528
1709.005759,1001,2028.78443
1881.211222,1001,2050.240791
1313.330638,1001,2059.0722
1335.834501,1001,2079.387271
1959.567606,1001,2088.486963
1853.939508,1001,2108.915659
1692.959789,1001,2117.612781
1594.164753,1001,2136.771669
2101.880104,1001,2146.813479
1564.545348,1001,2165.756324
2050.166276,1001,2175.812606
1682.804722,1001,2194.158751
1743.837916,1001,2203.048003
2058.892457,1001,2223.002784
1756.353662,1001,2231.823235
2016.147179,1001,2253.48863
1761.469399,1001,2262.144992
1744.771677,1001,2285.425544
2057.155462,1001,2294.247572
1763.733222,1001,2316.504281
2001.653147,1001,2325.246448
1165.84553,1001,2347.406941
1268.858314,1001,2356.375045
406.227423,524,2372.276121
2118.45871,1001,2381.004301
2096.939128,1001,2389.79397
1655.109902,1001,2410.680418
1591.722914,1001,2419.653765
1456.881345,1001,2440.131385
1705.941889,1001,2448.994822
1934.776011,1001,2467.702271
1766.131464,1001,2478.004732
1739.73664,1001,2497.218615
1495.753077,1001,2507.166666
1897.835786,1001,2525.98835
1784.20378,1001,2534.702268
1804.335329,1001,2555.417285
