#{"t_start": 1763582220.935294, "env_id": "None"}
r,l,t
-46.730474,1001,11.868975
-20.384357,1001,19.560612
-56.520527,1001,40.651091
-47.595603,1001,49.203077
1022.528258,1001,66.969555
636.679062,1001,76.04099
323.217702,1001,93.325745
1244.072729,1001,101.803283
538.905757,1001,120.961525
263.912008,1001,129.011771
693.474919,1001,147.461215
-16.207026,1001,156.427491
-92.528477,1001,174.777786
1372.008997,1001,183.502298
524.54949,1001,202.209952
290.646651,1001,211.317453
1559.852528,1001,229.889977
1384.654955,1001,238.125129
443.162577,1001,259.019578
1562.983927,1001,266.970666
361.536359,1001,287.431418
453.663481,1001,295.66995
237.590655,1001,317.060469
307.732674,1001,325.292664
1292.301338,1001,345.417624
1526.163827,1001,354.360834
777.593072,1001,373.571817
1292.793213,1001,382.930689
407.271237,1001,401.236474
1729.345143,1001,411.213041
421.823471,1001,430.589753
1272.488431,1001,440.759725
1643.810028,1001,459.480926
951.225037,1001,468.684187
774.530689,1001,488.20045
603.930156,1001,496.856456
1055.690546,1001,517.153665
1568.597427,1001,525.695561
714.580693,1001,545.658049
1654.310332,1001,554.374345
681.182826,1001,575.04946
1387.563512,1001,583.887588
891.463755,1001,602.33475
560.242005,1001,612.434942
574.10294,1001,621.312069
1413.442896,1001,641.236785
1719.706556,1001,650.225146
766.752986,1001,668.592694
1503.526593,1001,678.706634
562.724569,1001,696.883928
920.662653,1001,707.248447
776.246146,1001,725.58168
648.698681,1001,734.375897
1302.401097,1001,755.672553
675.086386,1001,764.524466
141.684333,156,765.944486
1013.93906,1001,786.293929
1939.125387,1001,795.098599
872.313412,1001,814.4874
1640.364042,1001,823.384621
1305.161808,1001,843.586384
2019.436965,1001,852.3004
624.286988,1001,870.976418
594.489602,1001,880.957995
719.745755,1001,899.658
1996.699486,1001,909.697151
1974.392578,1001,928.976432
102.572289,193,930.687427
651.684,1001,940.623262
818.323367,1001,959.99275
1522.507978,1001,969.236939
622.357754,1001,989.193981
1181.503932,1001,998.025048
626.870875,1001,1017.730057
950.616823,1001,1026.866276
674.468673,1001,1047.254021
1923.043497,1001,1056.172601
696.828889,1001,1076.41445
1188.957091,1001,1085.422
1563.233985,1001,1105.970977
1982.765831,1001,1114.873876
930.568357,1001,1133.685436
1364.985451,1001,1143.589053
562.308525,970,1162.463701
1005.957151,1001,1172.810173
1738.687846,1001,1191.645254
1012.185481,1001,1200.642009
1179.432203,1001,1220.821142
919.884076,1001,1230.044703
688.808951,1001,1250.270405
622.720352,1001,1259.205971
1220.590627,1001,1278.803713
765.27963,1001,1287.716446
1108.095478,1001,1307.761088
1415.712512,1001,1316.94594
1607.460352,1001,1337.781031
659.545128,1001,1347.779841
1772.631921,1001,1366.765609
796.08486,1001,1376.814869
942.735441,1001,1395.873926
1842.41569,1001,1405.850388
1550.968224,1001,1424.702202
1501.534888,1001,1433.954673
814.518728,1001,1454.917353
1377.349566,1001,1463.733788
1484.279246,1001,1473.794483
