#{"t_start": 1763582220.4625185, "env_id": "None"}
r,l,t
-46.213964,1001,12.341075
951.251514,1001,20.033215
11.003154,1001,41.123365
875.468581,1001,49.675498
121.658998,1001,67.44185
548.748742,1001,76.513304
47.375039,1001,93.798289
623.473277,1001,102.275414
1155.669011,1001,121.434161
273.118734,1001,129.484129
1445.099672,1001,147.933907
1542.803527,1001,156.899641
698.395911,1001,175.250637
748.223985,1001,183.975232
-19.564768,1001,202.682793
984.783989,1001,211.789395
1253.210014,1001,230.36261
495.54148,1001,238.597641
271.528937,1001,259.492905
1342.325586,1001,267.44341
1316.941048,1001,287.903707
661.903108,1001,296.142848
586.022347,1001,317.533109
1494.362816,1001,325.765098
388.635233,1001,345.887257
1740.744585,1001,354.833632
439.313556,1001,374.044156
1549.885668,1001,383.40352
518.192958,1001,401.708704
1163.792618,1001,411.685665
1423.534966,1001,431.062136
1718.572889,1001,441.2323
357.237839,1001,459.953313
1680.264864,1001,469.156504
1615.619842,1001,488.672565
1350.547032,1001,497.329185
1557.780952,1001,517.626359
554.127069,1001,526.167883
1196.644828,1001,546.130452
588.496794,1001,554.846565
1306.073386,1001,575.522116
647.237015,1001,584.360173
1697.668699,1001,602.807461
677.853674,1001,612.907509
1292.08569,1001,621.784553
1863.252091,1001,641.709435
1458.382968,1001,650.697767
778.469149,1001,669.06538
866.76101,1001,679.180453
944.256623,1001,697.357031
1040.259818,1001,707.72128
1852.668735,1001,726.054366
619.356731,1001,734.848653
808.095323,1001,756.145129
595.707322,1001,764.997133
1520.782211,1001,785.346799
672.402041,1001,794.323928
912.808006,1001,813.581143
794.848349,1001,822.486146
656.959859,1001,842.664896
1159.830662,1001,851.389117
883.212033,1001,870.061533
685.969926,489,875.473155
1383.953139,1001,894.151971
758.182285,1001,903.302262
1327.509934,1001,923.657303
1943.253828,1001,932.390463
1151.742336,1001,942.346249
937.82004,1001,961.717067
617.679119,1001,970.977589
946.443598,1001,990.893338
660.923101,1001,999.737244
1264.938459,1001,1019.445789
832.056431,1001,1028.592999
707.466086,1001,1048.966183
808.536446,1001,1057.888047
683.890538,1001,1078.19414
1995.598511,1001,1087.120893
2010.695101,1001,1107.707272
1693.979707,1001,1116.590642
1829.787563,1001,1135.416376
80.250451,222,1137.356826
82.654571,249,1140.617617
1295.838424,1001,1159.600734
1455.206607,1001,1168.97079
1642.317239,1001,1188.933285
1274.59251,1001,1197.845963
1340.397359,1001,1218.16393
722.318746,1001,1227.092633
664.325247,1001,1236.335353
1293.379574,1001,1256.466687
997.6136,1001,1265.374079
1269.376586,1001,1285.000762
2039.097054,1001,1293.907516
1127.646721,1001,1313.947502
1387.068094,1001,1323.159989
1191.088684,1001,1345.049308
125.486211,248,1347.239316
2047.200724,1001,1366.297485
1204.166812,1001,1376.298068
1707.188192,1001,1395.408904
2080.498456,1001,1404.259561
767.856328,1001,1414.205641
273.281812,229,1426.29252
919.516503,1001,1435.473745
1418.899722,1001,1456.403593
1899.560926,1001,1465.271868
745.509794,1001,1485.200032
1571.345605,1001,1494.451779
1204.260714,1001,1514.476399
1535.039136,1001,1523.467963
1584.362608,1001,1532.319308
740.240495,1001,1552.236287
1734.071655,1001,1561.377011
1809.594489,1001,1581.504308
1608.787996,1001,1590.400586
657.012458,1001,1610.542133
1165.011546,1001,1619.368766
1497.471797,1001,1639.727368
1541.642555,1001,1648.815845
1559.118455,1001,1667.937865
385.387196,597,1674.325313
1516.731828,1001,1693.467824
358.994377,250,1695.639794
928.025024,767,1702.417756
1157.103175,1001,1721.859462
1320.41897,904,1729.901798
893.420247,840,1747.965008
1680.796815,1001,1756.98815
95.919482,205,1758.87243
1019.086519,816,1777.521621
1856.416919,1001,1786.225353
1866.221503,1001,1794.913732
1675.352908,1001,1815.256474
1888.535138,1001,1824.366082
1647.124589,1001,1843.889511
1459.05046,1001,1852.893248
1462.103439,1001,1872.69539
2000.19778,1001,1881.516445
1626.460195,1001,1900.472636
1036.659679,1001,1910.521548
1804.058677,1001,1928.940769
1995.72363,1001,1937.869242
1193.238051,770,1955.8244
1907.374696,1001,1964.639971
2082.725655,1001,1985.394563
1820.533539,1001,1994.001031
1048.159614,1001,2015.29385
1546.658553,1001,2024.346876
1419.161159,1001,2045.908103
1977.976805,1001,2054.581972
2014.538115,1001,2074.978015
2011.557937,1001,2083.847105
314.483898,427,2087.782599
1821.957088,1001,2108.213334
498.978369,371,2111.493872
1238.819475,1001,2130.426725
1553.972892,1001,2140.454912
1450.417925,1001,2149.369976
1601.670884,1001,2168.3513
2114.677999,1001,2178.391703
1381.569192,1001,2196.749262
1354.323701,1001,2206.746663
1752.965796,1001,2225.556267
2017.562731,1001,2234.408727
1841.869719,1001,2256.087141
1781.920688,1001,2264.689695
1792.493815,1001,2288.003055
1791.812821,1001,2296.850665
1516.615604,1001,2319.051332
1797.830773,1001,2327.824048
2043.14357,1001,2350.098289
1715.68807,1001,2358.92307
1731.15124,1001,2378.975787
1774.148353,1001,2387.738374
1670.55664,1001,2408.592962
1443.873232,1001,2417.837932
1677.895885,1001,2437.052373
1594.037762,1001,2446.892356
1620.160743,1001,2465.690702
2052.171808,1001,2475.726809
1946.679531,1001,2495.154683
1763.465973,1001,2504.026506
1924.014904,1001,2523.949297
1614.666723,1001,2532.629792
2119.565919,1001,2553.369907
2055.174826,1001,2562.158666
1760.435482,1001,2582.364539
1659.394732,1001,2591.096821
1795.350956,1001,2611.365585
1868.493475,1001,2620.156338
305.48022,324,2623.020209
2098.277016,1001,2642.96655
1992.632095,1001,2651.751848
1737.661144,1001,2670.856534
2076.316705,1001,2681.101805
2093.629823,1001,2700.081821
1705.982248,1001,2710.014098
326.511411,278,2712.444443
552.481983,444,2726.835087
1800.552251,1001,2735.713403
1590.912101,1001,2755.640293
1739.906747,1001,2764.424785
1909.416302,1001,2784.035424
1472.894485,1001,2792.802231
1822.686142,1001,2812.98052
1714.770056,1001,2821.735062
1765.432062,1001,2830.454937
468.275475,403,2844.846868
1750.469219,1001,2853.527418
1803.308422,1001,2874.138502
1961.22422,1001,2883.176133
2089.959629,1001,2908.501227
1543.921875,1001,2917.194431
2061.570922,1001,2935.272955
1746.633378,1001,2945.484534
1864.270295,1001,2964.640679
489.890488,418,2968.369994
411.429372,339,2971.224242
1670.524009,1001,2980.592338
1820.372261,1001,2998.227276
1793.2356,1001,3008.955492
1790.827725,1001,3030.52246
2080.350851,1001,3041.942029
1409.709106,1001,3063.430926
1706.698382,1001,3074.321759
1487.116074,1001,3095.478718
1690.769843,1001,3106.892693
1810.870089,1001,3125.904427
1848.097367,1001,3135.274175
1816.86467,1001,3160.389762
295.242406,247,3162.643596
1803.593307,1001,3173.361571
788.068075,668,3193.716303
1663.350404,1001,3205.896451
1838.906869,1001,3229.456126
1366.102795,1001,3241.563246
1703.975656,1001,3266.802919
1963.028978,1001,3278.195808
1821.923095,1001,3301.236687
1420.788783,1001,3312.463721
2034.436169,1001,3335.221657
1811.052437,1001,3346.213497
1758.095424,1001,3363.600354
