#{"t_start": 1763582220.556234, "env_id": "None"}
r,l,t
507.296781,1001,12.247548
1176.292952,1001,19.93957
1211.085266,1001,41.029965
4.545083,1001,49.581418
1084.664313,1001,67.347944
127.149,1001,76.419324
527.415304,1001,93.704314
234.363016,1001,102.181844
847.043608,1001,121.340487
147.975362,1001,129.390363
1361.55349,1001,147.839905
60.585906,1001,156.805913
258.241875,1001,175.156796
507.306074,1001,183.881579
1449.808121,1001,202.588865
-16.078551,1001,211.695679
294.348233,1001,230.268726
1498.961657,1001,238.503619
1270.823033,1001,259.400099
872.622999,1001,267.349579
1317.686597,1001,287.810013
886.994942,1001,296.048923
365.164405,1001,317.438644
1567.980418,1001,325.671019
1662.425046,1001,345.793558
1667.300732,1001,354.739552
1481.429453,1001,373.950469
1125.667768,1001,383.309325
1591.091419,1001,401.615117
551.656095,1001,411.591687
948.655272,1001,430.969736
882.131802,1001,441.138903
405.084174,1001,459.859563
667.563375,1001,469.063095
598.498592,1001,488.579116
1707.833521,1001,497.235372
1532.828269,1001,517.532481
1025.18653,1001,526.074363
1055.292158,1001,546.036957
1034.592206,1001,554.752827
1355.028042,1001,575.428206
1208.728668,1001,584.266208
639.202919,1001,602.713448
1549.275815,1001,612.813481
1253.748842,1001,621.690657
613.584468,1001,641.615587
701.149064,1001,650.60392
1283.425505,1001,668.971544
876.355755,536,674.885381
1555.589115,1001,693.167587
1933.284746,1001,702.060235
363.11031,282,704.764954
1914.906843,1001,724.367045
1768.355379,1001,733.131096
596.581325,1001,754.465354
1903.087781,1001,763.265857
1636.630665,1001,783.601554
1532.645451,1001,792.514838
692.178389,1001,811.863298
1325.294418,1001,820.781475
678.227628,1001,840.966856
635.707138,1001,849.782612
659.45899,1001,868.335652
969.089891,1001,878.303768
736.512631,1001,896.888701
780.408754,1001,907.05639
1060.064452,1001,926.407581
764.033271,1001,935.23595
897.289409,1001,955.473289
1071.40627,1001,964.603541
118.772526,206,966.591182
1920.460778,1001,986.667882
1982.581366,1001,995.555346
713.348047,1001,1015.226187
195.746221,173,1016.763775
1593.273703,1001,1025.854917
867.646325,1001,1046.268164
1605.924827,1001,1055.187766
857.263531,1001,1075.441725
1130.013263,1001,1084.458418
688.292314,1001,1103.911269
806.679969,1001,1113.900691
1829.025259,1001,1132.70196
724.160538,1001,1142.615107
1869.799174,1001,1161.672276
1707.969416,1001,1170.960837
1985.311928,1001,1190.932094
809.445737,1001,1199.88616
618.518963,1001,1220.124278
1967.087847,1001,1229.244332
2023.142251,1001,1249.533913
761.281305,1001,1258.489602
1098.839181,1001,1278.097874
626.489196,1001,1287.018701
782.380826,1001,1307.057249
2046.550581,1001,1316.20511
924.348344,1001,1337.081626
697.020637,1001,1347.041899
1602.90136,1001,1366.115165
1989.823938,1001,1376.100081
1590.054725,1001,1385.102492
1917.968774,1001,1404.065839
2018.511524,1001,1414.018199
1690.045978,1001,1433.234487
1902.704533,1001,1443.182779
714.918524,1001,1463.033997
1604.561233,1001,1473.093125
2010.935773,1001,1492.012115
83.432607,166,1493.604833
1461.825986,1001,1502.713068
1692.601311,1001,1522.691912
235.989095,213,1524.598882
1954.360658,1001,1544.367818
1928.005064,1001,1553.31578
174.041663,195,1555.033336
1961.024742,1001,1575.255104
707.934119,1001,1584.462151
1337.657811,1001,1603.282393
2050.314935,1001,1613.423146
1792.676193,1001,1632.67973
977.125454,1001,1642.745738
1607.760249,1001,1661.979656
147.42158,169,1663.399261
2010.248688,1001,1673.392984
851.396777,1001,1692.549217
965.461482,1001,1701.369674
806.966813,1001,1720.811701
1246.471546,1001,1729.704924
783.051385,1001,1749.110727
1372.442909,1001,1758.271814
790.615395,1001,1778.560751
1459.393816,1001,1787.246714
1731.653617,1001,1807.402637
1681.691945,1001,1816.268165
2027.214555,1001,1834.898124
1706.343317,1001,1844.926815
1949.572618,1001,1853.895354
1755.984483,1001,1873.771181
1724.894113,1001,1882.52805
1367.339013,1001,1901.536243
1568.728658,1001,1911.591582
1682.957879,1001,1930.00928
1700.82601,1001,1939.9484
1722.498425,1001,1958.887475
433.768383,360,1962.051085
1286.963382,1001,1982.69031
1676.968886,1001,1991.44651
1446.217492,1001,2012.764617
1197.4851,1001,2021.788939
1531.283298,1001,2043.367248
1564.739377,1001,2052.024028
1258.547495,1001,2071.297325
1225.175426,1001,2081.183498
1699.637946,1001,2090.277039
962.416562,883,2109.668422
1754.63324,1001,2118.366564
2038.096799,1001,2137.506662
1785.164467,1001,2147.560477
1912.682343,1001,2166.499335
2082.902007,1001,2176.554609
1731.417044,1001,2194.876782
1796.593283,1001,2203.773645
1708.761465,1001,2223.75751
1609.772716,1001,2232.575314
