#{"t_start": 1763582221.046335, "env_id": "None"}
r,l,t
302.899882,1001,11.758702
-128.899769,1001,19.450115
-32.744605,1001,40.54145
451.823551,1001,49.093635
693.429445,1001,66.861126
323.020858,1001,75.929922
1128.032692,1001,93.216474
117.698727,1001,101.693238
150.59677,1001,120.852044
38.296536,1001,128.901606
-118.631128,1001,147.35215
-52.690145,1001,156.318464
47.716937,1001,174.668468
169.185188,1001,183.39278
540.313814,1001,202.100481
222.542016,1001,211.207636
1561.096576,1001,229.779694
143.780624,1001,238.015821
302.359722,1001,258.909703
991.982364,1001,266.860395
242.957646,1001,287.320594
1424.631392,1001,295.56066
1524.571701,1001,316.9515
1226.795623,1001,325.183102
1409.567825,1001,345.304041
1121.030953,1001,354.250852
753.346261,1001,373.462809
654.128783,1001,382.821908
423.526808,1001,401.126181
1483.237066,1001,411.103397
1723.141267,1001,430.48117
698.042215,1001,440.650719
283.013055,1001,459.371488
728.346912,1001,468.574822
1729.619482,1001,488.090933
1391.830315,1001,496.747501
1764.369645,1001,517.044714
745.970069,1001,525.586043
1270.387654,1001,545.548474
1838.972681,1001,554.265056
844.583948,1001,574.941041
1095.782441,1001,583.778671
1839.502805,1001,602.225774
1282.576047,1001,612.325115
633.44526,1001,621.201805
181.375824,267,633.137859
621.936721,1001,643.565724
920.07046,1001,661.946148
552.244229,1001,670.849545
1188.137378,1001,690.357861
1901.332868,1001,699.115767
871.275227,1001,719.044589
1609.44913,1001,727.765538
838.335573,1001,749.191406
557.980848,1001,757.917665
522.952313,1001,778.277992
950.774954,1001,787.147266
1081.36255,1001,795.884713
639.301013,1001,815.334808
1194.547993,1001,824.255507
1698.988277,1001,844.45104
955.60256,1001,853.167199
747.365721,1001,872.891434
1251.578816,1001,881.888795
1728.864263,1001,900.597728
1042.031268,1001,910.551228
816.822121,1001,929.835126
1739.508129,1001,939.77799
2011.558812,1001,959.165569
1449.26534,1001,968.404589
1006.013834,1001,988.363554
731.731018,1001,997.209101
784.887283,1001,1016.89511
1741.26922,1001,1025.992204
563.713691,428,1041.382268
628.719888,1001,1050.236198
1729.322429,1001,1059.117066
763.380979,1001,1079.469613
750.193987,1001,1088.38004
934.530777,1001,1108.938379
651.141255,1001,1117.836251
1971.962056,1001,1136.634356
387.106869,707,1143.947709
651.061141,1001,1163.132199
666.51724,1001,1173.455364
324.18031,232,1175.361725
1260.138592,1001,1194.340505
1329.406623,1001,1203.328691
1876.390447,1001,1223.497058
781.967656,1001,1232.838285
1234.568147,1001,1252.983996
654.74778,1001,1261.89727
1730.144617,1001,1281.579753
1344.750436,1001,1290.390213
1509.355257,1001,1310.476821
1776.268561,1001,1319.617076
