#{"t_start": 1763582221.3423874, "env_id": "None"}
r,l,t
464.015393,1001,11.46208
944.305323,1001,19.15388
-64.087974,1001,40.24379
233.810673,1001,48.795856
624.907619,1001,66.562112
1230.471509,1001,75.633706
1435.684882,1001,92.918988
1567.18293,1001,101.396162
1281.829809,1001,120.554383
490.804742,1001,128.604629
187.066416,1001,147.054576
2.69793,1001,156.020071
1047.845581,1001,174.371013
1529.509665,1001,183.095469
442.297852,1001,201.803638
1464.311937,1001,210.910278
1336.028036,1001,229.483653
433.260186,1001,237.7176
1366.643786,1001,258.612823
827.148295,1001,266.563628
1382.920721,1001,287.024021
1396.899331,1001,295.262987
1108.495726,1001,316.653146
849.759205,1001,324.885714
445.516177,1001,345.008031
749.048303,1001,353.954189
703.875307,1001,373.165253
1527.598256,1001,382.523703
1531.983144,1001,400.829368
1142.980314,1001,410.806251
1668.550784,1001,430.182752
1221.346104,1001,440.352714
1681.204106,1001,459.07367
715.305454,1001,468.277367
1788.497988,1001,487.793161
547.065198,1001,496.449763
1659.453071,1001,516.746524
461.889727,1001,525.288446
1667.34566,1001,545.250901
547.283719,1001,553.968922
595.385107,1001,574.642733
608.661731,1001,583.480814
1306.585454,1001,601.927696
675.22809,1001,612.027991
927.491072,1001,620.905145
1160.956669,1001,640.82999
942.349147,1001,649.818442
1537.732294,1001,668.185656
1486.879852,1001,678.30017
657.266476,1001,696.47724
879.041875,1001,706.8413
1106.533344,1001,725.174827
536.394408,1001,733.969246
1131.854689,1001,755.265532
163.066289,178,756.845594
1856.08876,1001,765.725587
246.813758,199,778.909131
1800.219887,1001,787.840257
586.56264,1001,807.187656
628.487117,1001,816.059621
1672.450843,1001,835.191991
717.359028,1001,845.126881
1271.195403,1001,853.849084
1261.869021,1001,873.584808
909.476038,1001,882.57267
716.479247,1001,901.413649
70.227901,246,903.522339
1952.385008,1001,923.898525
611.209719,1001,932.6996
880.694974,1001,952.982227
651.157875,1001,962.04227
1666.638316,1001,982.360315
1353.906636,1001,991.209574
821.136191,1001,1011.006554
756.901725,1001,1019.838275
1913.715027,1001,1028.895968
759.091509,1001,1049.291687
841.354418,1001,1058.184585
1880.53794,1001,1078.535109
1920.625124,1001,1087.434905
1846.216617,1001,1107.997195
2053.276084,1001,1116.889126
725.480652,1001,1135.701945
1940.39183,1001,1145.632752
750.3531,1001,1164.990714
1396.172228,1001,1174.989531
665.099282,1001,1193.95686
856.476853,1001,1202.945208
1136.420596,1001,1223.113656
1690.95858,1001,1232.451395
863.770256,1001,1252.599177
1432.767383,1001,1261.513704
1710.092662,1001,1281.203541
1833.569574,1001,1290.007155
1090.913256,1001,1310.092803
712.907206,1001,1319.234497
1789.500098,1001,1341.143004
1303.775843,1001,1350.165395
1469.999917,1001,1369.097698
666.772575,1001,1379.255747
2089.387487,1001,1398.162097
745.748156,1001,1408.148211
818.91966,1001,1427.262718
1383.204756,1001,1436.263533
1239.541525,1001,1457.163442
193.420441,261,1459.512955
