#{"t_start": 1763582221.3216937, "env_id": "None"}
r,l,t
389.344705,1001,11.483144
1192.554631,1001,19.174848
695.867852,1001,40.264462
-100.124313,1001,48.81675
71.237129,1001,66.585522
86.754927,1001,75.654411
120.519214,1001,92.939661
1108.927782,1001,101.416801
962.813743,1001,120.575238
0.740755,1001,128.625608
163.223972,1001,147.075382
676.551209,1001,156.040826
783.128972,1001,174.391616
817.543303,1001,183.116611
1556.212777,1001,201.823788
260.11247,1001,210.931443
162.649844,1001,229.504359
1292.98885,1001,237.73893
1463.463568,1001,258.633852
314.201785,1001,266.584174
1255.754183,1001,287.044935
595.216751,1001,295.284214
346.089561,1001,316.674305
1524.971483,1001,324.906552
359.950778,1001,345.028658
1111.142594,1001,353.97456
1415.899004,1001,373.188842
445.443883,1001,382.545109
1116.914034,1001,400.850584
1217.047738,1001,410.827472
435.501502,1001,430.203661
740.717028,1001,440.373638
1773.067002,1001,459.096184
1687.014237,1001,468.298012
792.625308,1001,487.814432
963.487477,1001,496.470515
540.26483,1001,516.767673
559.765903,1001,525.309277
1039.062104,1001,545.272112
1761.594313,1001,553.987756
551.697942,1001,574.665072
1459.649336,1001,583.501697
761.351105,1001,601.948702
1661.80309,1001,612.048816
1606.207564,1001,620.92613
661.597131,1001,640.851705
1795.679472,1001,649.839203
821.397518,1001,668.206789
880.412017,1001,678.322209
1299.84455,1001,696.499822
1816.128709,1001,706.862188
769.692598,1001,725.195962
1123.055905,1001,733.990052
586.151107,1001,755.286237
126.240009,163,756.73599
612.032692,1001,765.621675
1190.163522,1001,785.968459
692.503928,1001,794.775648
1569.329229,1001,814.168183
591.731274,1001,823.06145
585.089395,1001,843.272941
1265.384135,1001,851.973902
1911.877519,1001,870.650287
1255.997963,1001,880.641886
1678.391293,1001,899.337729
1217.927363,1001,909.374651
699.053062,1001,928.649869
1811.191141,1001,937.525703
1235.609974,1001,957.940704
37.324432,232,960.013191
1775.967007,1001,969.262795
1057.610731,1001,989.208594
683.110623,1001,998.048578
635.118715,1001,1017.74378
1648.739602,1001,1026.904756
623.619548,1001,1047.287411
1730.146593,1001,1056.189659
1920.894021,1001,1076.430978
1941.906578,1001,1085.448091
2018.257136,1001,1106.017542
1864.197576,1001,1114.898726
699.45718,1001,1133.706713
1987.860197,1001,1143.61137
275.9967,372,1146.925838
989.157972,1001,1166.385278
1911.844899,1001,1176.265905
938.009785,1001,1195.24083
1849.610535,1001,1204.212222
1488.55853,1001,1224.403586
1007.867377,1001,1233.763767
1853.180997,1001,1253.892658
1154.448237,1001,1262.796656
2043.183694,1001,1282.469269
860.833863,1001,1291.280606
1926.074095,1001,1311.363977
1365.226873,1001,1320.564095
2060.501471,1001,1342.463394
695.250627,1001,1351.474313
758.136159,1001,1370.390348
655.864022,1001,1380.536014
970.207203,1001,1399.523659
1975.645654,1001,1409.439039
1853.371091,1001,1428.680186
697.686773,1001,1438.619406
930.505926,1001,1458.492078
840.495634,1001,1467.405161
619.906268,1001,1487.24749
1936.165135,1001,1496.692593
1846.695377,1001,1516.519038
682.335699,1001,1525.566132
1310.494712,1001,1545.298193
1342.59573,1001,1554.244147
1993.881008,1001,1574.462114
966.089837,1001,1583.672121
1162.220257,1001,1602.491668
1060.724768,1001,1612.62807
335.087547,288,1615.158523
1018.540126,1001,1634.410757
1594.431628,1001,1644.577149
23.408162,165,1646.048803
2007.304218,1001,1665.137388
1582.150001,1001,1675.12797
238.90829,375,1678.482613
1127.307633,1001,1697.52865
1723.896961,1001,1707.461278
406.810364,560,1721.934331
1585.702984,1001,1730.62438
805.862476,1001,1750.231547
1507.385651,1001,1759.439803
1649.179923,1001,1779.639032
1610.24393,1001,1788.35083
503.203681,622,1793.744703
2080.019069,1001,1814.096404
2060.470732,1001,1823.222389
1274.664236,1001,1842.723389
2010.441366,1001,1851.721318
2031.368923,1001,1870.420333
1616.126825,1001,1880.361703
1701.226334,1001,1899.301634
1653.604261,1001,1909.343382
1549.241193,1001,1927.762787
1542.464648,1001,1936.690667
1034.296291,760,1954.578477
1344.21791,1001,1963.370197
1660.043188,1001,1984.1771
1720.184555,1001,1992.72254
1667.779599,1001,2014.035931
1646.229813,1001,2023.083893
1228.359506,798,2042.892829
1175.373666,877,2050.459072
1503.839977,1001,2059.294616
1716.162749,1001,2079.608702
1665.170421,1001,2088.694499
2085.083273,1001,2109.136402
1933.91662,1001,2117.831823
1683.495594,1001,2136.987455
1727.058927,1001,2147.027949
2102.507238,1001,2165.976441
1625.717775,1001,2176.03023
1603.142424,1001,2194.370467
1760.092072,1001,2203.261441
1355.86533,1001,2223.223209
2099.836923,1001,2232.041326
1735.604225,1001,2253.706594
1634.792148,1001,2262.367379
1774.18447,1001,2285.645834
1742.565235,1001,2294.464354
1771.533703,1001,2316.719282
1765.831194,1001,2325.463687
2096.065849,1001,2347.615078
2040.5363,1001,2356.591622
1727.769386,1001,2376.626011
1399.991176,1001,2385.412415
1461.60666,1001,2406.257536
1346.114913,1001,2415.359114
1924.609039,1001,2434.704045
1696.238103,1001,2444.563073
1023.859475,849,2461.991683
2081.426575,1001,2472.049364
1741.052008,1001,2491.479226
1563.48789,1001,2500.328476
1930.285852,1001,2520.307092
1614.728294,1001,2528.941338
1304.829093,1001,2549.733684
1773.211633,1001,2558.487821
1769.747031,1001,2578.728732
1919.897278,1001,2587.437575
658.585831,496,2591.747464
491.044912,403,2595.310888
2052.582299,1001,2615.584277
1789.759558,1001,2624.412564
369.484149,345,2638.514323
235.706873,226,2640.520491
2083.226695,1001,2649.328064
1688.975327,1001,2668.435032
1766.87308,1001,2678.701969
1780.261351,1001,2697.635704
1778.002785,1001,2707.599163
1912.098801,1001,2726.878861
2098.899853,1001,2735.763546
1817.671279,1001,2755.656797
1445.687249,1001,2764.460288
1662.748538,1001,2784.064505
1664.717043,1001,2792.835975
1631.03853,1001,2812.999534
1705.278117,1001,2821.766241
1685.332387,1001,2841.376635
1785.740118,1001,2850.216664
1827.600516,1001,2869.35701
1819.711245,1001,2879.69887
1791.711766,1001,2888.46132
1681.389886,1001,2913.743124
1802.764023,1001,2922.250449
2069.574373,1001,2942.005906
2044.399535,1001,2950.811593
1608.530364,1001,2969.90771
1248.632187,1001,2979.278267
1857.15057,1001,2996.893085
1912.081216,1001,3007.466
1793.554368,1001,3029.086099
1775.997748,1001,3040.486251
2042.641795,1001,3062.113929
777.412049,569,3067.490966
1899.030595,1001,3089.737429
1801.040617,1001,3099.938091
1271.358066,760,3108.727341
2045.962301,1001,3127.433395
1758.505245,1001,3138.239488
1831.838171,1001,3161.992447
1796.745094,1001,3172.714368
1822.860009,1001,3196.493456
2057.488148,1001,3208.91154
1793.786132,1001,3232.594143
1814.540252,1001,3244.794363
1690.681344,1001,3269.63785
2075.827909,1001,3281.438365
1593.018164,1001,3305.13564
1835.422279,1001,3315.101923
1874.94023,1001,3338.970508
1633.48424,1001,3348.32589
1807.549664,1001,3365.834671
2030.665027,1001,3375.449923
1745.49569,1001,3392.914786
1679.690589,1001,3401.630938
574.02013,488,3415.826778
1739.7931,1001,3424.188599
1812.485148,1001,3443.389123
2075.499226,1001,3451.83281
1717.495951,1001,3460.490536
1835.729609,1001,3478.77555
1817.269307,1001,3487.297143
2021.368179,1001,3508.944285
1621.931525,1001,3518.234005
1789.151288,1001,3539.259736
2069.740026,1001,3548.217044
1054.679627,728,3564.055659
1431.304898,1001,3573.323416
2115.424967,1001,3591.896971
2074.788744,1001,3601.574776
