#{"t_start": 1763582220.6625843, "env_id": "None"}
r,l,t
1181.662503,1001,12.143622
1222.257765,1001,19.835745
1369.303967,1001,40.925205
809.144772,1001,49.476223
-79.249854,1001,67.244076
468.485062,1001,76.314991
726.135378,1001,93.599043
1520.43499,1001,102.077638
1431.958348,1001,121.234511
1139.495521,1001,129.286108
640.912886,1001,147.735643
710.868974,1001,156.701497
-5.260919,1001,175.05123
541.629747,1001,183.77617
31.310628,1001,202.484295
150.778563,1001,211.592177
351.239472,1001,230.164889
1408.667264,1001,238.399549
1126.811375,1001,259.294098
240.352366,1001,267.245057
1532.836114,1001,287.705432
400.081137,1001,295.944326
811.041211,1001,317.334914
526.687734,1001,325.566875
783.371829,1001,345.689407
1435.049839,1001,354.635365
1232.420766,1001,373.847107
1685.784894,1001,383.205545
351.471571,1001,401.510763
431.812049,1001,411.4885
1681.436848,1001,430.86457
687.073707,1001,441.034107
1284.503516,1001,459.755972
1440.600205,1001,468.959232
1203.978122,1001,488.473922
1794.239754,1001,497.131119
629.152597,1001,517.427953
1816.128799,1001,525.969787
1404.505107,1001,545.932785
1673.277528,1001,554.646849
610.457694,1001,575.324594
1151.393984,1001,584.161844
1077.837212,1001,602.60904
1742.167091,1001,612.709179
557.727559,1001,621.586334
1215.181232,1001,641.511498
557.105216,1001,650.498852
1034.655668,1001,668.867626
1868.485927,1001,678.981297
1851.512301,1001,697.158502
1026.946173,1001,707.523417
1664.552528,1001,725.856305
1805.945486,1001,734.650815
1760.853586,1001,755.945401
1234.654333,1001,764.799106
739.794022,1001,785.148527
578.451621,1001,794.126235
627.712734,1001,813.383247
656.15676,1001,822.288159
1632.895735,1001,842.466682
1368.684403,1001,851.191145
1250.68699,1001,869.863356
1680.003718,1001,879.793665
1588.572276,1001,898.417755
831.130681,1001,908.588504
1077.482908,1001,927.881651
1620.883406,1001,936.765295
670.087457,1001,957.139385
677.975943,1001,966.270361
1753.350731,1001,986.365511
680.105503,1001,995.24386
914.347894,1001,1014.917193
1867.509326,1001,1024.01751
925.634242,1001,1044.422801
923.024579,1001,1053.349102
2009.213531,1001,1073.577948
858.530436,1001,1082.59039
1588.754137,1001,1102.061201
673.602272,1001,1112.051192
1556.855824,1001,1130.86762
635.319681,1001,1140.767454
1267.156849,1001,1159.780016
1095.383466,1001,1169.12708
922.525993,1001,1189.082389
1240.43805,1001,1198.008658
195.523916,290,1200.654758
825.094502,1001,1220.836512
1176.607542,1001,1230.074653
1480.979137,1001,1250.300882
1558.154615,1001,1259.228885
872.108143,1001,1278.833953
638.40831,1001,1287.742606
1289.103777,1001,1307.784595
717.663336,1001,1316.975193
2015.687509,1001,1337.798003
1796.824201,1001,1347.802579
1560.454186,1001,1366.793598
1375.876554,1001,1376.842625
1138.498357,1001,1395.892772
832.392556,1001,1404.806926
1629.674239,1001,1424.711133
74.454437,205,1426.655087
2013.221927,1001,1435.798542
1983.340758,1001,1456.735069
1606.219,1001,1465.613747
1736.873113,1001,1485.51307
640.985832,1001,1494.815847
1762.236473,1001,1514.780891
1170.752395,1001,1523.787081
2074.814054,1001,1543.575382
2027.769894,1001,1552.546088
685.340063,1001,1572.784537
2072.249786,1001,1581.831406
1196.555832,1001,1590.705079
279.148052,238,1602.841675
1305.731196,1001,1612.979732
956.829666,1001,1632.240243
1413.869052,1001,1642.308144
64.098864,192,1644.023616
1534.291979,1001,1663.169338
199.51346,208,1665.010537
1085.190726,1001,1675.007082
1415.917543,1001,1694.118563
1761.42314,1001,1702.948147
2029.428368,1001,1722.412507
1676.322414,1001,1731.114346
1403.419961,1001,1750.710311
1625.490699,1001,1759.915603
1065.891996,768,1778.111045
1275.025177,1001,1786.792946
808.904437,790,1793.658886
1653.82819,1001,1814.003706
1209.60158,1001,1823.157393
1432.060668,1001,1842.592661
1703.276554,1001,1851.637156
831.612227,1001,1870.339062
1589.570885,1001,1880.300574
1412.734793,1001,1899.21503
1148.86711,1001,1909.177935
520.452476,439,1922.760376
1601.230377,1001,1931.643534
1592.540513,1001,1951.425019
1264.832891,1001,1960.432631
143.310772,194,1962.146295
1989.463209,1001,1982.776811
1216.663366,1001,1991.536051
1118.806361,1001,2012.851049
1754.452558,1001,2021.880317
1698.650981,1001,2043.467497
1814.865031,1001,2052.120733
1158.70373,1001,2072.462121
1580.488061,1001,2081.280728
1208.275739,839,2088.920935
1714.70705,1001,2109.381922
1784.663093,1001,2118.073036
1668.618988,1001,2137.208218
2058.569653,1001,2147.286863
1467.986403,1001,2166.21581
1738.042936,1001,2176.266644
1991.370719,1001,2194.592656
2091.367584,1001,2203.463063
1545.392923,1001,2223.47436
1743.533368,1001,2232.286881
2102.111977,1001,2253.945513
1239.156627,1001,2262.604232
1725.825421,1001,2285.884852
1634.968623,1001,2294.706415
1710.347442,1001,2316.962977
864.307409,697,2323.008783
1931.545373,1001,2344.910965
908.109178,624,2350.791561
1759.977985,1001,2359.711016
1448.619872,1001,2379.687792
1336.584045,1001,2388.463781
1709.132112,1001,2409.271327
1712.195357,1001,2418.44257
1682.162708,1001,2437.74652
1784.29593,1001,2447.616933
1764.129984,1001,2466.39003
1779.719843,1001,2476.467492
1805.112251,1001,2495.896626
1729.095175,1001,2505.797385
758.792685,646,2521.551649
1659.936663,1001,2530.209034
1773.638595,1001,2550.981822
1851.15613,1001,2559.748431
1369.504735,1001,2580.001225
1405.308194,960,2588.339642
1548.747442,1001,2597.088208
1715.75744,1001,2617.377753
1763.902951,1001,2626.226744
1356.146737,1001,2646.129641
1730.13898,1001,2654.958766
2035.647968,1001,2675.306031
1703.590021,1001,2684.284787
1796.161481,1001,2703.289491
192.750357,220,2706.318757
1826.056404,1001,2725.658033
2115.077855,1001,2734.499172
1760.502277,1001,2744.650028
2044.669349,1001,2763.137571
1788.320577,1001,2773.054497
1818.750718,1001,2791.576059
1784.481854,1001,2800.199172
1516.124332,1001,2820.496934
1407.363328,1001,2829.238519
1844.562646,1001,2848.873014
1957.383167,1001,2857.540286
1804.408041,1001,2878.313934
1858.490039,1001,2887.19171
1959.992818,1001,2912.521362
1793.633054,1001,2921.111901
1493.25763,1001,2940.737015
1795.5496,1001,2949.579706
2037.268143,1001,2968.686509
155.301915,204,2970.435169
1642.207634,1001,2979.802118
1616.697542,1001,2997.409278
1835.330761,1001,3007.982976
1674.993394,1001,3029.574424
1672.761019,1001,3040.989661
1445.455181,1001,3062.647805
2100.94149,1001,3073.42901
1847.645643,1001,3094.441429
1867.881124,1001,3105.958837
2084.586401,1001,3125.047564
1775.655291,1001,3134.328408
1799.87601,1001,3159.545966
668.656368,529,3164.366904
1703.056251,1001,3188.878484
1763.489306,1001,3199.317083
1830.83923,1001,3224.489632
1732.822984,1001,3235.251411
1840.679806,1001,3248.178458
1807.262102,1001,3273.300903
2031.584538,1001,3284.148339
1545.367214,1001,3307.664349
1686.884736,1001,3317.582241
1839.779642,1001,3341.45995
1561.993413,1001,3350.440474
1805.940351,1001,3367.999924
528.006211,410,3372.544755
1673.477676,1001,3390.138821
1772.265467,1001,3398.829283
2044.86487,1001,3417.307785
654.618194,487,3421.344542
2089.019997,1001,3429.838542
1780.169462,1001,3449.055545
1846.194391,1001,3457.514452
1801.839284,1001,3476.295457
1847.543246,1001,3484.589492
1853.722847,1001,3505.906725
1862.335518,1001,3515.08714
158.837131,230,3517.182446
1922.231617,1001,3537.249423
275.931692,285,3540.875778
2058.721358,1001,3549.756908
1783.18244,1001,3567.801693
1800.185835,1001,3577.097236
1730.987867,1001,3596.418516
1838.643207,1001,3606.724384
1824.997952,1001,3625.068673
1709.449124,1001,3633.859087
1650.067964,1001,3654.48248
