#{"t_start": 1763582220.8866837, "env_id": "None"}
r,l,t
127.79043,1001,11.919287
827.620668,1001,19.609745
816.004618,1001,40.699595
-54.042621,1001,49.251808
1343.377967,1001,67.018355
60.468381,1001,76.090188
-40.834648,1001,93.374693
274.288338,1001,101.851855
1497.845386,1001,121.010442
176.373827,1001,129.061059
671.138818,1001,147.51084
1547.180577,1001,156.475995
505.105396,1001,174.826992
40.022877,1001,183.551652
187.108146,1001,202.25893
402.812108,1001,211.367766
1434.712363,1001,229.939041
244.958828,1001,238.174014
1367.848586,1001,259.069404
1149.951788,1001,267.019786
488.602312,1001,287.480627
1045.60888,1001,295.718874
384.226143,1001,317.109066
348.304496,1001,325.341157
1240.723054,1001,345.463831
404.326924,1001,354.410032
1563.589221,1001,373.624157
1218.425723,1001,382.981234
609.749455,1001,401.287096
1302.973406,1001,411.263942
989.826869,1001,430.638444
1446.406096,1001,440.810882
1510.673114,1001,459.530204
1716.77147,1001,468.733826
555.305743,1001,488.251192
1764.117629,1001,496.907687
506.9042,1001,517.204149
914.440232,1001,525.745772
1649.760074,1001,545.709111
1553.171481,1001,554.422976
788.533262,1001,575.098863
1468.114498,1001,583.937281
1521.002087,1001,602.385917
658.54196,1001,612.485266
1706.81095,1001,621.361607
695.426428,1001,641.28741
1086.883372,1001,650.275921
1085.502448,1001,668.642107
1278.252801,1001,678.757834
1807.655303,1001,696.933249
1166.590114,1001,707.29775
1428.380075,1001,725.631248
1753.5979,1001,734.425121
740.042834,1001,755.721352
1757.602251,1001,764.573842
1932.045589,1001,784.924451
1958.776409,1001,793.901407
1795.656955,1001,813.159188
982.522341,1001,822.06373
621.666999,1001,842.24207
1180.576226,1001,850.966487
976.90385,1001,869.639111
740.582708,1001,879.569916
752.731527,1001,898.193641
758.639879,1001,908.363807
1869.387792,1001,927.657254
1269.187128,1001,936.540652
1439.607081,1001,956.915292
2009.12446,1001,966.046039
810.659551,1001,986.141214
1475.177585,1001,995.019839
739.296888,1001,1014.692485
879.988675,1001,1023.794158
812.331964,1001,1044.197315
1493.428429,1001,1053.124754
1455.351375,1001,1073.355032
1072.441647,1001,1082.366527
1246.509953,1001,1101.837289
1033.889903,721,1109.326204
1508.591339,1001,1118.223326
926.156851,1001,1137.025293
1628.515472,1001,1146.954221
1997.269166,1001,1166.408286
1867.31945,1001,1176.270498
699.061985,1001,1195.272405
758.903045,1001,1204.256853
191.090875,163,1206.73525
1126.205871,1001,1225.878939
801.678811,1001,1235.23714
1139.60007,1001,1255.361751
1363.539812,1001,1264.271664
286.99791,303,1277.684855
261.39464,251,1279.951105
682.651526,1001,1288.805477
1547.631439,1001,1308.848998
124.996694,173,1310.438147
723.147083,1001,1319.579232
1312.542113,1001,1341.481294
663.838376,1001,1350.509387
961.072377,1001,1369.441715
1298.049212,1001,1379.601453
742.308341,1001,1398.486285
2018.682712,1001,1408.491416
932.18015,1001,1427.592639
1127.880863,1001,1436.610087
1661.098561,1001,1457.510765
1649.366742,1001,1466.453359
1628.057636,1001,1486.27822
1055.687078,1001,1495.598898
2093.390114,1001,1515.566186
2072.852867,1001,1524.602019
1159.578365,1001,1544.345473
1959.596322,1001,1553.29283
1013.048086,1001,1573.516402
2043.437054,1001,1582.637442
343.211127,265,1585.064738
433.071618,483,1589.28692
2051.505643,1001,1609.385114
1453.246502,1001,1618.256917
1557.996587,1001,1637.510094
1359.517783,979,1647.518861
1359.066336,1001,1666.62064
1544.154889,1001,1676.615409
1649.069302,1001,1695.694746
1997.529156,1001,1704.510533
1829.850396,1001,1723.983657
2049.718939,1001,1732.600347
1087.100001,1001,1752.250058
1710.532751,1001,1761.471667
377.569788,597,1778.15741
860.278414,1001,1786.855471
1706.056063,1001,1807.00437
1723.315042,1001,1815.880863
1945.117454,1001,1834.513345
1750.425697,1001,1844.539851
1955.717623,1001,1853.506073
1973.240866,1001,1873.379159
1893.474223,1001,1882.131694
1410.844018,1001,1901.151105
997.661148,1001,1911.195384
976.336281,1001,1929.612311
1428.500039,1001,1939.55574
1373.498557,1001,1958.497895
1580.168576,1001,1967.338442
1625.198707,1001,1987.871407
1506.34777,1001,1996.671757
1994.027013,1001,2018.128921
1658.514673,1001,2027.005733
1681.866566,1001,2048.543475
1709.867381,1001,2057.259261
2020.644401,1001,2077.650996
2011.838936,1001,2086.712679
1911.406806,1001,2107.12006
1722.898637,1001,2115.855865
1101.120718,1001,2134.913496
1717.166344,1001,2144.964867
1306.702252,1001,2163.991426
2063.578085,1001,2174.051372
1693.175093,1001,2192.388064
1562.553646,1001,2201.219396
1742.342707,1001,2221.234462
1687.131658,1001,2230.065535
1742.833504,1001,2251.742832
2089.800339,1001,2260.415399
1719.615427,1001,2283.663191
2110.607309,1001,2292.476776
1588.970925,1001,2314.759988
1544.307306,985,2323.314029
1659.338649,1001,2345.245849
1720.553508,1001,2354.452121
269.667593,272,2356.831012
1351.601477,1001,2376.881147
1780.379499,1001,2385.658942
2091.256714,1001,2406.520102
1312.624711,1001,2415.625634
1846.59882,1001,2434.961166
1742.695924,1001,2444.824228
1750.59163,1001,2463.583492
2023.005615,1001,2473.606699
1752.1501,1001,2493.071978
1731.749608,1001,2501.928705
1795.407103,1001,2521.872126
1769.012581,1001,2530.532985
1768.273608,1001,2551.305549
1729.730635,1001,2560.084139
2051.450382,1001,2580.305715
1801.930751,1001,2589.026921
1644.136825,1001,2609.131009
1606.925364,1001,2618.080754
1196.059748,829,2625.393414
1321.617189,840,2643.881568
1714.644806,1001,2652.695438
1800.42724,1001,2672.915979
2050.623116,1001,2682.046689
1748.972153,1001,2701.007921
2007.617549,1001,2710.948153
1809.207529,1001,2730.333393
1790.712233,1001,2740.268658
1796.602304,1001,2758.958444
1789.398701,1001,2767.783341
1751.197392,1001,2787.383738
496.576609,358,2790.537453
2075.58859,1001,2799.153317
1352.645626,1001,2819.472139
1738.626232,1001,2828.22049
1770.038886,1001,2847.840517
1822.293924,1001,2856.498945
1673.355472,1001,2877.267699
1798.267786,1001,2886.145923
1732.685298,1001,2911.523327
1636.380616,1001,2920.200728
1780.590657,1001,2939.530573
2018.863981,1001,2948.620459
1698.490773,1001,2967.696527
1648.373716,1001,2977.147596
1793.911492,1001,2994.495581
1806.75151,1001,3004.050509
418.744017,358,3008.388565
1836.0413,1001,3029.991755
